Player,Team,Position,MatchDate,MatchTime,Match,HomeAway,Result,HomeScore,AwayScore,Goals,Yellow cards,Red cards,Individual possession,Successful forward passes,Crosses in game,Crosses on restart of play,Shots,Shots on target,50/50 Ground challenges,50/50 air challenges,Tackles made,Tackles received,Dribble made,Dribble conceeded,Balls won,Balls lost,Passes towards final thirds,Fouls made,Fouls conceeded,Offsides,Passes,Successful passes,Forward passes,50/50 Ground challenges won,50/50 air challenges won,Tackles made won,Tackles received won,Successful dribble,Dribble conceeded won,Successful passes towards final thirds,Corners,Chances,Short passes (0-17m),Successful short passes (0-17m),Medium passes (17-34m),Successful medium passes (17-34m),Long passes (34+ m),Successful long passes (34+ m),Backward passes,Successful backward passes,Sideward passes,Successful sideward passes,Shots inside box,Shots outside box,Own goals,Goals on penalty,Penalties,Shots conceded,50/50 challenges,50/50 challenges won,Crosses,Throw-in,Successful crosses,Successful crosses in game,Successful crosses on restart of play,Assists,Goals on set play,Free kicks,Shots from head,Shots from right foot,Shots from left foot,Shots from foot,Shots not on restart of play,Shots on restart of play,Balls played in one touch,Goals on open play,Goals on open play on possession based attacks,Goals on open play on quick attacks,Goals on open play not on attack,Goals from inside box,Goals from outside box,Goals with head,Goals with foot,Goals with other part of body,Goals with right foot,Goals with left foot,Penalty kicks,Match played,Starter,Entire match played,Time played in real (min),Clearances,Fouls made in first third part,Fouls received in first third part,Fouls made in second third part,Fouls received in second third part,Assist to goal,2nd assist to goal,Blocks,Assist to shot,2nd assist to shot
Fletcher Darren,Manchester United,Holding central midfielder right,2014/08/16,12:45:37.000000,Manchester United v Swansea City,H,L,1,2,0,0,0,59,13,0,0,1,0,1,0,1,0,0,1,6,8,10,0,0,0,56,49,17,1,0,1,0,0,0,8,0,0,34,28,15,14,7,7,9,8,30,28,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,1,0,1,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,98.69833,4,0,0,0,0,0,0,0,1,0
Rooney Wayne,Manchester United,Centre forward left,2014/08/16,12:45:37.000000,Manchester United v Swansea City,H,L,1,2,1,0,0,38,2,0,0,6,3,4,2,2,0,2,1,2,15,1,0,2,0,24,18,5,1,2,2,0,0,0,1,0,1,19,15,3,2,2,1,5,5,13,11,3,3,0,0,0,0,6,3,0,0,0,0,0,0,1,1,2,4,0,4,5,1,20,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,98.69833,3,0,0,0,0,0,0,0,1,1
Young Ashley,Manchester United,Wide midfielder left,2014/08/16,12:45:37.000000,Manchester United v Swansea City,H,L,1,2,0,1,0,65,8,4,3,1,1,1,0,0,0,0,1,12,13,5,4,0,0,55,47,12,1,0,0,0,0,0,3,0,0,34,30,17,15,4,2,21,20,22,19,0,1,0,0,0,0,1,1,7,9,2,2,0,0,0,4,0,1,0,1,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,98.69833,6,0,0,3,0,0,0,0,2,0
Nani,Manchester United,Wide midfielder left,2014/08/16,12:45:37.000000,Manchester United v Swansea City,H,L,1,2,0,0,0,26,4,4,0,0,0,1,0,1,0,1,0,1,3,3,0,0,0,19,17,6,1,0,1,0,1,0,2,0,0,17,15,2,2,0,0,3,3,10,10,0,0,0,0,0,0,1,1,4,1,1,1,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,50.59233,0,0,0,0,0,0,0,0,0,1
Fellaini Marouane,Manchester United,Wide midfielder left,2014/08/16,12:45:37.000000,Manchester United v Swansea City,H,L,1,2,0,0,0,23,3,0,0,0,0,0,4,1,0,0,0,2,4,2,0,2,1,22,18,5,0,3,1,0,0,0,2,0,0,16,13,6,5,0,0,5,5,12,10,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,29.69367,1,0,1,0,1,0,0,0,2,0
de Gea David,Manchester United,Goalkeeper,2014/08/16,12:45:37.000000,Manchester United v Swansea City,H,L,1,2,0,0,0,23,5,0,0,0,0,0,0,0,0,0,0,8,5,1,0,0,0,22,18,9,0,0,0,0,0,0,1,0,0,3,3,11,11,8,4,0,0,13,13,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,98.69833,3,0,0,0,0,0,0,0,0,0
Mata,Manchester United,Centre forward,2014/08/16,12:45:37.000000,Manchester United v Swansea City,H,L,1,2,0,0,0,64,9,1,8,1,1,5,0,0,2,0,0,2,11,5,0,1,0,49,44,11,0,0,0,0,0,0,3,4,0,30,29,17,14,2,1,13,13,25,22,1,0,0,0,0,0,5,0,9,2,2,0,2,0,0,6,0,0,1,1,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,98.69833,1,0,0,0,0,1,0,0,4,1
Chicharito,Manchester United,Centre forward right,2014/08/16,12:45:37.000000,Manchester United v Swansea City,H,L,1,2,0,0,0,13,0,0,0,0,0,1,2,0,1,1,0,4,3,0,2,1,0,10,8,0,0,2,0,1,0,0,0,0,0,9,7,1,1,0,0,2,2,8,6,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,48.106,0,0,0,1,0,0,0,0,1,1
Smalling Chris,Manchester United,Sweeper,2014/08/16,12:45:37.000000,Manchester United v Swansea City,H,L,1,2,0,0,0,91,11,0,0,1,0,4,4,3,1,0,0,18,15,2,1,1,0,82,74,18,0,3,2,0,0,0,0,0,0,22,18,56,56,4,0,5,5,59,58,1,0,0,0,0,0,8,3,0,1,0,0,0,0,0,2,1,0,0,0,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,98.69833,10,0,0,1,1,0,0,0,0,0
Jones Phil,Manchester United,Central defender left,2014/08/16,12:45:37.000000,Manchester United v Swansea City,H,L,1,2,0,0,0,85,26,1,0,1,0,2,2,0,3,0,2,14,9,10,1,4,0,78,68,31,1,2,0,0,0,0,7,0,0,46,41,27,23,5,4,8,8,39,34,1,0,0,0,0,0,4,3,1,7,0,0,0,0,0,3,1,0,0,0,1,0,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,98.69833,7,0,3,1,0,0,0,0,1,1
