data,Name,Game,X,Y,V5,V6,V7,V8,V9,First_Position,Second_Position,Third_Position,Fourth_Position,Fifth_Position
1,Fraizer CAMPBELL,14.08.16 Arsenal v Crystal Palace,13.46624038,-0.346279663,92.30847319,39.80772117,38.30926328,14.56270525,7.092690797,Supporting Attacker,Right Centre Forward,Left Centre Forward,Right Centre Midfielder,Left Centre Midfielder
2,Marouane CHAMAKH,14.08.16 Arsenal v Crystal Palace,9.352283039,0.42264191,77.39875032,15.48120838,11.14487599,10.6443431,5.294377514,Supporting Attacker,Left Centre Midfielder,Holding Midfielder,Right Centre Midfielder,Left Centre Forward
3,Yannick BOLASIE,14.08.16 Arsenal v Crystal Palace,16.31538533,12.85845763,61.53888058,49.20684726,30.31589619,26.84604767,2.123884893,Left Centre Forward,Left Wing,Supporting Attacker,Left Centre Midfielder,Right Centre Forward
4,Wojciech SZCZESNY,14.08.16 Arsenal v Crystal Palace,-40.92293143,-0.541577857,54.31681944,42.83571934,42.40797158,17.1879796,4.984288451,Central Defender,Central Right Defender,Central Left Defender,Holding Midfielder,Left Centre Midfielder
5,Calum CHAMBERS,14.08.16 Arsenal v Crystal Palace,-1.30352973,-20.615999,71.23319679,52.34135668,25.59161995,20.63811185,17.58279727,Advanced Right Back,Right Centre Midfielder,Central Right Defender,Holding Midfielder,Right Wing
6,Aaron RAMSEY,14.08.16 Arsenal v Crystal Palace,7.150670147,-4.171081729,63.48873219,59.37923204,41.52814576,17.76983092,16.57550193,Supporting Attacker,Right Centre Midfielder,Holding Midfielder,Right Centre Forward,Left Centre Midfielder
7,Jack WILSHERE,14.08.16 Arsenal v Crystal Palace,9.767366893,-1.613014639,79.98106448,22.75226866,9.510141658,9.296108839,1.823158739,Supporting Attacker,Right Centre Midfielder,Right Centre Forward,Holding Midfielder,Left Centre Midfielder
8,Mikel ARTETA,14.08.16 Arsenal v Crystal Palace,-2.382348535,0.591498702,90.42446388,53.94979227,38.07903628,30.4111027,17.69069915,Holding Midfielder,Left Centre Midfielder,Right Centre Midfielder,Supporting Attacker,Central Defender
9,Alexis SANCHEZ,14.08.16 Arsenal v Crystal Palace,15.13159038,7.585769269,71.66227148,56.49043601,33.58317216,24.08606558,21.1952599,Left Centre Forward,Supporting Attacker,Left Centre Midfielder,Right Centre Forward,Left Wing
10,Joel WARD,14.08.16 Arsenal v Crystal Palace,-0.872559454,2.416304031,80.33630996,65.04683106,36.58869,33.92453978,10.29542973,Holding Midfielder,Left Centre Midfielder,Supporting Attacker,Right Centre Midfielder,Central Defender
