Matchname,Half,Time,Player1Name,Player1ClubName,XPos,Ypos
Chelsea v Manchester City,Second Half,2102.20,Didier DROGBA,Chelsea,0.00,34.00
Chelsea v Manchester City,Second Half,2102.30,Didier DROGBA,Chelsea,0.00,33.80
Chelsea v Manchester City,Second Half,2102.40,Didier DROGBA,Chelsea,0.10,33.70
Chelsea v Manchester City,Second Half,2102.50,Didier DROGBA,Chelsea,0.20,33.50
Chelsea v Manchester City,Second Half,2102.60,Didier DROGBA,Chelsea,0.30,33.30
Chelsea v Manchester City,Second Half,2102.70,Didier DROGBA,Chelsea,0.63,32.84
Chelsea v Manchester City,Second Half,2102.80,Didier DROGBA,Chelsea,0.82,32.56
Chelsea v Manchester City,Second Half,2102.90,Didier DROGBA,Chelsea,1.04,32.27
Chelsea v Manchester City,Second Half,2103.00,Didier DROGBA,Chelsea,1.25,32.02
Chelsea v Manchester City,Second Half,2103.10,Didier DROGBA,Chelsea,1.46,31.83
Chelsea v Manchester City,Second Half,2103.20,Didier DROGBA,Chelsea,1.67,31.63
Chelsea v Manchester City,Second Half,2103.30,Didier DROGBA,Chelsea,1.88,31.46
Chelsea v Manchester City,Second Half,2103.40,Didier DROGBA,Chelsea,2.08,31.30
Chelsea v Manchester City,Second Half,2103.50,Didier DROGBA,Chelsea,2.28,31.15
Chelsea v Manchester City,Second Half,2103.60,Didier DROGBA,Chelsea,2.47,31.01
Chelsea v Manchester City,Second Half,2103.70,Didier DROGBA,Chelsea,2.66,30.87
Chelsea v Manchester City,Second Half,2103.80,Didier DROGBA,Chelsea,2.85,30.74
Chelsea v Manchester City,Second Half,2103.90,Didier DROGBA,Chelsea,3.08,30.53
Chelsea v Manchester City,Second Half,2104.00,Didier DROGBA,Chelsea,3.31,30.33
Chelsea v Manchester City,Second Half,2104.10,Didier DROGBA,Chelsea,3.56,30.12
Chelsea v Manchester City,Second Half,2104.20,Didier DROGBA,Chelsea,3.81,29.90
Chelsea v Manchester City,Second Half,2104.30,Didier DROGBA,Chelsea,4.11,29.64
Chelsea v Manchester City,Second Half,2104.40,Didier DROGBA,Chelsea,4.47,29.33
Chelsea v Manchester City,Second Half,2104.50,Didier DROGBA,Chelsea,4.86,29.06
Chelsea v Manchester City,Second Half,2104.60,Didier DROGBA,Chelsea,5.26,28.74
Chelsea v Manchester City,Second Half,2104.70,Didier DROGBA,Chelsea,5.67,28.39
Chelsea v Manchester City,Second Half,2104.80,Didier DROGBA,Chelsea,6.12,27.99
Chelsea v Manchester City,Second Half,2104.90,Didier DROGBA,Chelsea,6.52,27.59
Chelsea v Manchester City,Second Half,2105.00,Didier DROGBA,Chelsea,6.88,27.21
Chelsea v Manchester City,Second Half,2105.10,Didier DROGBA,Chelsea,7.18,26.82
Chelsea v Manchester City,Second Half,2105.20,Didier DROGBA,Chelsea,7.46,26.45
Chelsea v Manchester City,Second Half,2105.30,Didier DROGBA,Chelsea,7.72,26.09
Chelsea v Manchester City,Second Half,2105.40,Didier DROGBA,Chelsea,7.96,25.74
