Matchname,Half,Time,Player1Name,Player1ClubName,XPos,Ypos
Chelsea v Manchester City,Second Half,2286.00,Edin DZEKO,Manchester City,-0.90,35.70
Chelsea v Manchester City,Second Half,2286.10,Edin DZEKO,Manchester City,-0.90,35.50
Chelsea v Manchester City,Second Half,2286.20,Edin DZEKO,Manchester City,-0.80,35.30
Chelsea v Manchester City,Second Half,2286.30,Edin DZEKO,Manchester City,-0.80,35.10
Chelsea v Manchester City,Second Half,2286.40,Edin DZEKO,Manchester City,-0.80,35.10
Chelsea v Manchester City,Second Half,2286.50,Edin DZEKO,Manchester City,-0.83,35.16
Chelsea v Manchester City,Second Half,2286.60,Edin DZEKO,Manchester City,-0.84,35.09
Chelsea v Manchester City,Second Half,2286.70,Edin DZEKO,Manchester City,-0.87,35.00
Chelsea v Manchester City,Second Half,2286.80,Edin DZEKO,Manchester City,-0.93,34.93
Chelsea v Manchester City,Second Half,2286.90,Edin DZEKO,Manchester City,-1.02,34.85
Chelsea v Manchester City,Second Half,2287.00,Edin DZEKO,Manchester City,-1.18,34.66
Chelsea v Manchester City,Second Half,2287.10,Edin DZEKO,Manchester City,-1.39,34.42
Chelsea v Manchester City,Second Half,2287.20,Edin DZEKO,Manchester City,-1.65,34.14
Chelsea v Manchester City,Second Half,2287.30,Edin DZEKO,Manchester City,-1.96,33.83
Chelsea v Manchester City,Second Half,2287.40,Edin DZEKO,Manchester City,-2.30,33.47
Chelsea v Manchester City,Second Half,2287.50,Edin DZEKO,Manchester City,-2.67,33.10
Chelsea v Manchester City,Second Half,2287.60,Edin DZEKO,Manchester City,-2.99,32.82
Chelsea v Manchester City,Second Half,2287.70,Edin DZEKO,Manchester City,-3.27,32.57
Chelsea v Manchester City,Second Half,2287.80,Edin DZEKO,Manchester City,-3.57,32.34
Chelsea v Manchester City,Second Half,2287.90,Edin DZEKO,Manchester City,-3.86,32.13
Chelsea v Manchester City,Second Half,2288.00,Edin DZEKO,Manchester City,-4.13,31.93
Chelsea v Manchester City,Second Half,2288.10,Edin DZEKO,Manchester City,-4.37,31.74
Chelsea v Manchester City,Second Half,2288.20,Edin DZEKO,Manchester City,-4.64,31.47
Chelsea v Manchester City,Second Half,2288.30,Edin DZEKO,Manchester City,-4.95,31.20
Chelsea v Manchester City,Second Half,2288.40,Edin DZEKO,Manchester City,-5.26,30.89
Chelsea v Manchester City,Second Half,2288.50,Edin DZEKO,Manchester City,-5.58,30.56
Chelsea v Manchester City,Second Half,2288.60,Edin DZEKO,Manchester City,-5.95,30.22
Chelsea v Manchester City,Second Half,2288.70,Edin DZEKO,Manchester City,-6.33,29.89
Chelsea v Manchester City,Second Half,2288.80,Edin DZEKO,Manchester City,-6.78,29.57
Chelsea v Manchester City,Second Half,2288.90,Edin DZEKO,Manchester City,-7.21,29.21
Chelsea v Manchester City,Second Half,2289.00,Edin DZEKO,Manchester City,-7.61,28.87
Chelsea v Manchester City,Second Half,2289.10,Edin DZEKO,Manchester City,-8.03,28.53
Chelsea v Manchester City,Second Half,2289.20,Edin DZEKO,Manchester City,-8.41,28.16
Chelsea v Manchester City,Second Half,2289.30,Edin DZEKO,Manchester City,-8.77,27.75
Chelsea v Manchester City,Second Half,2289.40,Edin DZEKO,Manchester City,-9.03,27.35
Chelsea v Manchester City,Second Half,2289.50,Edin DZEKO,Manchester City,-9.35,26.86
Chelsea v Manchester City,Second Half,2289.60,Edin DZEKO,Manchester City,-9.67,26.35
Chelsea v Manchester City,Second Half,2289.70,Edin DZEKO,Manchester City,-9.95,25.83
Chelsea v Manchester City,Second Half,2289.80,Edin DZEKO,Manchester City,-10.23,25.32
Chelsea v Manchester City,Second Half,2289.90,Edin DZEKO,Manchester City,-10.62,24.81
Chelsea v Manchester City,Second Half,2290.00,Edin DZEKO,Manchester City,-11.10,24.30
Chelsea v Manchester City,Second Half,2290.10,Edin DZEKO,Manchester City,-11.54,23.89
Chelsea v Manchester City,Second Half,2290.20,Edin DZEKO,Manchester City,-12.02,23.51
Chelsea v Manchester City,Second Half,2290.30,Edin DZEKO,Manchester City,-12.57,23.08
Chelsea v Manchester City,Second Half,2290.40,Edin DZEKO,Manchester City,-13.16,22.66
Chelsea v Manchester City,Second Half,2290.50,Edin DZEKO,Manchester City,-13.68,22.26
Chelsea v Manchester City,Second Half,2290.60,Edin DZEKO,Manchester City,-14.16,21.87
Chelsea v Manchester City,Second Half,2290.70,Edin DZEKO,Manchester City,-14.63,21.46
Chelsea v Manchester City,Second Half,2290.80,Edin DZEKO,Manchester City,-15.07,21.04
Chelsea v Manchester City,Second Half,2290.90,Edin DZEKO,Manchester City,-15.45,20.68
Chelsea v Manchester City,Second Half,2291.00,Edin DZEKO,Manchester City,-15.81,20.32
Chelsea v Manchester City,Second Half,2291.10,Edin DZEKO,Manchester City,-16.14,19.96
Chelsea v Manchester City,Second Half,2291.20,Edin DZEKO,Manchester City,-16.44,19.56
Chelsea v Manchester City,Second Half,2291.30,Edin DZEKO,Manchester City,-16.70,19.14
Chelsea v Manchester City,Second Half,2291.40,Edin DZEKO,Manchester City,-16.93,18.70
Chelsea v Manchester City,Second Half,2291.50,Edin DZEKO,Manchester City,-17.14,18.23
Chelsea v Manchester City,Second Half,2291.60,Edin DZEKO,Manchester City,-17.39,17.73
Chelsea v Manchester City,Second Half,2291.70,Edin DZEKO,Manchester City,-17.64,17.23
Chelsea v Manchester City,Second Half,2291.80,Edin DZEKO,Manchester City,-17.90,16.79
Chelsea v Manchester City,Second Half,2291.90,Edin DZEKO,Manchester City,-18.17,16.39
Chelsea v Manchester City,Second Half,2292.00,Edin DZEKO,Manchester City,-18.50,15.99
Chelsea v Manchester City,Second Half,2292.10,Edin DZEKO,Manchester City,-18.85,15.62
Chelsea v Manchester City,Second Half,2292.20,Edin DZEKO,Manchester City,-19.14,15.30
Chelsea v Manchester City,Second Half,2292.30,Edin DZEKO,Manchester City,-19.42,14.98
Chelsea v Manchester City,Second Half,2292.40,Edin DZEKO,Manchester City,-19.74,14.66
Chelsea v Manchester City,Second Half,2292.50,Edin DZEKO,Manchester City,-20.13,14.35
Chelsea v Manchester City,Second Half,2292.60,Edin DZEKO,Manchester City,-20.50,14.09
Chelsea v Manchester City,Second Half,2292.70,Edin DZEKO,Manchester City,-20.89,13.85
Chelsea v Manchester City,Second Half,2292.80,Edin DZEKO,Manchester City,-21.30,13.63
Chelsea v Manchester City,Second Half,2292.90,Edin DZEKO,Manchester City,-21.71,13.44
Chelsea v Manchester City,Second Half,2293.00,Edin DZEKO,Manchester City,-22.06,13.29
Chelsea v Manchester City,Second Half,2293.10,Edin DZEKO,Manchester City,-22.41,13.11
Chelsea v Manchester City,Second Half,2293.20,Edin DZEKO,Manchester City,-22.73,12.93
