Matchname,Half,Time,Player1Name,Player1ClubName,XPos,Ypos
Chelsea v Manchester City,First Half,0.00,FERNANDO,Manchester City,-11.80,0.30
Chelsea v Manchester City,First Half,0.10,FERNANDO,Manchester City,-11.80,0.30
Chelsea v Manchester City,First Half,0.20,FERNANDO,Manchester City,-11.80,0.30
Chelsea v Manchester City,First Half,0.30,FERNANDO,Manchester City,-11.80,0.50
Chelsea v Manchester City,First Half,0.40,FERNANDO,Manchester City,-11.80,0.60
Chelsea v Manchester City,First Half,0.50,FERNANDO,Manchester City,-11.88,0.79
Chelsea v Manchester City,First Half,0.60,FERNANDO,Manchester City,-11.90,0.89
Chelsea v Manchester City,First Half,0.70,FERNANDO,Manchester City,-11.92,0.99
Chelsea v Manchester City,First Half,0.80,FERNANDO,Manchester City,-11.94,1.08
Chelsea v Manchester City,First Half,0.90,FERNANDO,Manchester City,-11.95,1.15
Chelsea v Manchester City,First Half,1.00,FERNANDO,Manchester City,-11.94,1.22
Chelsea v Manchester City,First Half,1.10,FERNANDO,Manchester City,-11.91,1.28
Chelsea v Manchester City,First Half,1.20,FERNANDO,Manchester City,-11.86,1.34
Chelsea v Manchester City,First Half,1.30,FERNANDO,Manchester City,-11.78,1.41
Chelsea v Manchester City,First Half,1.40,FERNANDO,Manchester City,-11.68,1.47
Chelsea v Manchester City,First Half,1.50,FERNANDO,Manchester City,-11.54,1.55
Chelsea v Manchester City,First Half,1.60,FERNANDO,Manchester City,-11.41,1.59
Chelsea v Manchester City,First Half,1.70,FERNANDO,Manchester City,-11.26,1.60
Chelsea v Manchester City,First Half,1.80,FERNANDO,Manchester City,-11.12,1.57
Chelsea v Manchester City,First Half,1.90,FERNANDO,Manchester City,-10.96,1.49
Chelsea v Manchester City,First Half,2.00,FERNANDO,Manchester City,-10.83,1.39
Chelsea v Manchester City,First Half,2.10,FERNANDO,Manchester City,-10.70,1.26
Chelsea v Manchester City,First Half,2.20,FERNANDO,Manchester City,-10.57,1.13
Chelsea v Manchester City,First Half,2.30,FERNANDO,Manchester City,-10.45,0.99
Chelsea v Manchester City,First Half,2.40,FERNANDO,Manchester City,-10.34,0.87
Chelsea v Manchester City,First Half,2.50,FERNANDO,Manchester City,-10.24,0.75
Chelsea v Manchester City,First Half,2.60,FERNANDO,Manchester City,-10.13,0.63
Chelsea v Manchester City,First Half,2.70,FERNANDO,Manchester City,-10.03,0.52
Chelsea v Manchester City,First Half,2.80,FERNANDO,Manchester City,-9.94,0.41
Chelsea v Manchester City,First Half,2.90,FERNANDO,Manchester City,-9.84,0.30
Chelsea v Manchester City,First Half,3.00,FERNANDO,Manchester City,-9.75,0.19
Chelsea v Manchester City,First Half,3.10,FERNANDO,Manchester City,-9.66,0.10
Chelsea v Manchester City,First Half,3.20,FERNANDO,Manchester City,-9.57,0.00
Chelsea v Manchester City,First Half,3.30,FERNANDO,Manchester City,-9.48,-0.10
Chelsea v Manchester City,First Half,3.40,FERNANDO,Manchester City,-9.38,-0.20
Chelsea v Manchester City,First Half,3.50,FERNANDO,Manchester City,-9.29,-0.30
Chelsea v Manchester City,First Half,3.60,FERNANDO,Manchester City,-9.19,-0.41
Chelsea v Manchester City,First Half,3.70,FERNANDO,Manchester City,-9.07,-0.52
Chelsea v Manchester City,First Half,3.80,FERNANDO,Manchester City,-8.94,-0.63
Chelsea v Manchester City,First Half,3.90,FERNANDO,Manchester City,-8.79,-0.74
Chelsea v Manchester City,First Half,4.00,FERNANDO,Manchester City,-8.63,-0.86
Chelsea v Manchester City,First Half,4.10,FERNANDO,Manchester City,-8.45,-1.00
Chelsea v Manchester City,First Half,4.20,FERNANDO,Manchester City,-8.27,-1.13
Chelsea v Manchester City,First Half,4.30,FERNANDO,Manchester City,-8.10,-1.27
Chelsea v Manchester City,First Half,4.40,FERNANDO,Manchester City,-7.93,-1.42
Chelsea v Manchester City,First Half,4.50,FERNANDO,Manchester City,-7.77,-1.58
Chelsea v Manchester City,First Half,4.60,FERNANDO,Manchester City,-7.61,-1.75
Chelsea v Manchester City,First Half,4.70,FERNANDO,Manchester City,-7.45,-1.91
Chelsea v Manchester City,First Half,4.80,FERNANDO,Manchester City,-7.30,-2.08
Chelsea v Manchester City,First Half,4.90,FERNANDO,Manchester City,-7.14,-2.25
Chelsea v Manchester City,First Half,5.00,FERNANDO,Manchester City,-6.99,-2.42
Chelsea v Manchester City,First Half,5.10,FERNANDO,Manchester City,-6.84,-2.60
Chelsea v Manchester City,First Half,5.20,FERNANDO,Manchester City,-6.70,-2.78
Chelsea v Manchester City,First Half,5.30,FERNANDO,Manchester City,-6.57,-2.96
Chelsea v Manchester City,First Half,5.40,FERNANDO,Manchester City,-6.46,-3.15
Chelsea v Manchester City,First Half,5.50,FERNANDO,Manchester City,-6.36,-3.35
Chelsea v Manchester City,First Half,5.60,FERNANDO,Manchester City,-6.28,-3.55
Chelsea v Manchester City,First Half,5.70,FERNANDO,Manchester City,-6.21,-3.75
Chelsea v Manchester City,First Half,5.80,FERNANDO,Manchester City,-6.14,-3.98
Chelsea v Manchester City,First Half,5.90,FERNANDO,Manchester City,-6.09,-4.22
Chelsea v Manchester City,First Half,6.00,FERNANDO,Manchester City,-6.03,-4.48
Chelsea v Manchester City,First Half,6.10,FERNANDO,Manchester City,-5.99,-4.75
Chelsea v Manchester City,First Half,6.20,FERNANDO,Manchester City,-5.94,-5.05
Chelsea v Manchester City,First Half,6.30,FERNANDO,Manchester City,-5.90,-5.37
Chelsea v Manchester City,First Half,6.40,FERNANDO,Manchester City,-5.86,-5.70
Chelsea v Manchester City,First Half,6.50,FERNANDO,Manchester City,-5.82,-6.04
Chelsea v Manchester City,First Half,6.60,FERNANDO,Manchester City,-5.78,-6.38
Chelsea v Manchester City,First Half,6.70,FERNANDO,Manchester City,-5.74,-6.73
Chelsea v Manchester City,First Half,6.80,FERNANDO,Manchester City,-5.72,-7.07
Chelsea v Manchester City,First Half,6.90,FERNANDO,Manchester City,-5.71,-7.41
Chelsea v Manchester City,First Half,7.00,FERNANDO,Manchester City,-5.72,-7.73
Chelsea v Manchester City,First Half,7.10,FERNANDO,Manchester City,-5.76,-8.04
Chelsea v Manchester City,First Half,7.20,FERNANDO,Manchester City,-5.82,-8.33
Chelsea v Manchester City,First Half,7.30,FERNANDO,Manchester City,-5.91,-8.61
Chelsea v Manchester City,First Half,7.40,FERNANDO,Manchester City,-6.01,-8.87
Chelsea v Manchester City,First Half,7.50,FERNANDO,Manchester City,-6.12,-9.13
Chelsea v Manchester City,First Half,7.60,FERNANDO,Manchester City,-6.24,-9.38
Chelsea v Manchester City,First Half,7.70,FERNANDO,Manchester City,-6.37,-9.62
Chelsea v Manchester City,First Half,7.80,FERNANDO,Manchester City,-6.51,-9.85
Chelsea v Manchester City,First Half,7.90,FERNANDO,Manchester City,-6.66,-10.07
Chelsea v Manchester City,First Half,8.00,FERNANDO,Manchester City,-6.81,-10.29
Chelsea v Manchester City,First Half,8.10,FERNANDO,Manchester City,-6.97,-10.49
Chelsea v Manchester City,First Half,8.20,FERNANDO,Manchester City,-7.16,-10.70
Chelsea v Manchester City,First Half,8.30,FERNANDO,Manchester City,-7.36,-10.92
Chelsea v Manchester City,First Half,8.40,FERNANDO,Manchester City,-7.58,-11.15
Chelsea v Manchester City,First Half,8.50,FERNANDO,Manchester City,-7.83,-11.40
Chelsea v Manchester City,First Half,8.60,FERNANDO,Manchester City,-8.10,-11.65
Chelsea v Manchester City,First Half,8.70,FERNANDO,Manchester City,-8.39,-11.92
Chelsea v Manchester City,First Half,8.80,FERNANDO,Manchester City,-8.65,-12.19
Chelsea v Manchester City,First Half,8.90,FERNANDO,Manchester City,-8.88,-12.44
Chelsea v Manchester City,First Half,9.00,FERNANDO,Manchester City,-9.05,-12.68
Chelsea v Manchester City,First Half,9.10,FERNANDO,Manchester City,-9.18,-12.91
Chelsea v Manchester City,First Half,9.20,FERNANDO,Manchester City,-9.25,-13.12
Chelsea v Manchester City,First Half,9.30,FERNANDO,Manchester City,-9.26,-13.31
Chelsea v Manchester City,First Half,9.40,FERNANDO,Manchester City,-9.21,-13.50
Chelsea v Manchester City,First Half,9.50,FERNANDO,Manchester City,-9.11,-13.67
Chelsea v Manchester City,First Half,9.60,FERNANDO,Manchester City,-8.97,-13.85
Chelsea v Manchester City,First Half,9.70,FERNANDO,Manchester City,-8.78,-14.01
Chelsea v Manchester City,First Half,9.80,FERNANDO,Manchester City,-8.55,-14.17
Chelsea v Manchester City,First Half,9.90,FERNANDO,Manchester City,-8.28,-14.31
Chelsea v Manchester City,First Half,10.00,FERNANDO,Manchester City,-8.00,-14.43
Chelsea v Manchester City,First Half,10.10,FERNANDO,Manchester City,-7.71,-14.54
Chelsea v Manchester City,First Half,10.20,FERNANDO,Manchester City,-7.41,-14.63
Chelsea v Manchester City,First Half,10.30,FERNANDO,Manchester City,-7.10,-14.72
Chelsea v Manchester City,First Half,10.40,FERNANDO,Manchester City,-6.79,-14.78
Chelsea v Manchester City,First Half,10.50,FERNANDO,Manchester City,-6.47,-14.85
Chelsea v Manchester City,First Half,10.60,FERNANDO,Manchester City,-6.15,-14.91
Chelsea v Manchester City,First Half,10.70,FERNANDO,Manchester City,-5.83,-14.96
Chelsea v Manchester City,First Half,10.80,FERNANDO,Manchester City,-5.50,-15.01
Chelsea v Manchester City,First Half,10.90,FERNANDO,Manchester City,-5.18,-15.06
Chelsea v Manchester City,First Half,11.00,FERNANDO,Manchester City,-4.87,-15.11
Chelsea v Manchester City,First Half,11.10,FERNANDO,Manchester City,-4.57,-15.16
Chelsea v Manchester City,First Half,11.20,FERNANDO,Manchester City,-4.30,-15.21
Chelsea v Manchester City,First Half,11.30,FERNANDO,Manchester City,-4.04,-15.27
Chelsea v Manchester City,First Half,11.40,FERNANDO,Manchester City,-3.81,-15.34
Chelsea v Manchester City,First Half,11.50,FERNANDO,Manchester City,-3.61,-15.41
Chelsea v Manchester City,First Half,11.60,FERNANDO,Manchester City,-3.41,-15.47
Chelsea v Manchester City,First Half,11.70,FERNANDO,Manchester City,-3.23,-15.55
Chelsea v Manchester City,First Half,11.80,FERNANDO,Manchester City,-3.01,-15.56
Chelsea v Manchester City,First Half,11.90,FERNANDO,Manchester City,-2.75,-15.50
Chelsea v Manchester City,First Half,12.00,FERNANDO,Manchester City,-2.44,-15.37
Chelsea v Manchester City,First Half,12.10,FERNANDO,Manchester City,-2.08,-15.16
Chelsea v Manchester City,First Half,12.20,FERNANDO,Manchester City,-1.67,-14.90
Chelsea v Manchester City,First Half,12.30,FERNANDO,Manchester City,-1.22,-14.59
Chelsea v Manchester City,First Half,12.40,FERNANDO,Manchester City,-0.78,-14.28
Chelsea v Manchester City,First Half,12.50,FERNANDO,Manchester City,-0.33,-13.99
Chelsea v Manchester City,First Half,12.60,FERNANDO,Manchester City,0.12,-13.69
Chelsea v Manchester City,First Half,12.70,FERNANDO,Manchester City,0.57,-13.40
Chelsea v Manchester City,First Half,12.80,FERNANDO,Manchester City,1.04,-13.07
Chelsea v Manchester City,First Half,12.90,FERNANDO,Manchester City,1.52,-12.71
Chelsea v Manchester City,First Half,13.00,FERNANDO,Manchester City,1.98,-12.34
Chelsea v Manchester City,First Half,13.10,FERNANDO,Manchester City,2.41,-11.95
Chelsea v Manchester City,First Half,13.20,FERNANDO,Manchester City,2.81,-11.56
Chelsea v Manchester City,First Half,13.30,FERNANDO,Manchester City,3.18,-11.18
Chelsea v Manchester City,First Half,13.40,FERNANDO,Manchester City,3.49,-10.82
Chelsea v Manchester City,First Half,13.50,FERNANDO,Manchester City,3.76,-10.48
Chelsea v Manchester City,First Half,13.60,FERNANDO,Manchester City,4.01,-10.14
Chelsea v Manchester City,First Half,13.70,FERNANDO,Manchester City,4.25,-9.81
Chelsea v Manchester City,First Half,13.80,FERNANDO,Manchester City,4.48,-9.48
Chelsea v Manchester City,First Half,13.90,FERNANDO,Manchester City,4.70,-9.14
Chelsea v Manchester City,First Half,14.00,FERNANDO,Manchester City,4.92,-8.80
Chelsea v Manchester City,First Half,14.10,FERNANDO,Manchester City,5.14,-8.45
Chelsea v Manchester City,First Half,14.20,FERNANDO,Manchester City,5.36,-8.10
Chelsea v Manchester City,First Half,14.30,FERNANDO,Manchester City,5.59,-7.73
Chelsea v Manchester City,First Half,14.40,FERNANDO,Manchester City,5.82,-7.37
Chelsea v Manchester City,First Half,14.50,FERNANDO,Manchester City,6.05,-7.00
Chelsea v Manchester City,First Half,14.60,FERNANDO,Manchester City,6.28,-6.64
Chelsea v Manchester City,First Half,14.70,FERNANDO,Manchester City,6.51,-6.27
Chelsea v Manchester City,First Half,14.80,FERNANDO,Manchester City,6.73,-5.87
Chelsea v Manchester City,First Half,14.90,FERNANDO,Manchester City,6.95,-5.46
Chelsea v Manchester City,First Half,15.00,FERNANDO,Manchester City,7.17,-5.02
Chelsea v Manchester City,First Half,15.10,FERNANDO,Manchester City,7.38,-4.55
Chelsea v Manchester City,First Half,15.20,FERNANDO,Manchester City,7.58,-4.05
Chelsea v Manchester City,First Half,15.30,FERNANDO,Manchester City,7.76,-3.52
Chelsea v Manchester City,First Half,15.40,FERNANDO,Manchester City,7.96,-2.99
Chelsea v Manchester City,First Half,15.50,FERNANDO,Manchester City,8.15,-2.46
Chelsea v Manchester City,First Half,15.60,FERNANDO,Manchester City,8.38,-1.93
Chelsea v Manchester City,First Half,15.70,FERNANDO,Manchester City,8.65,-1.43
Chelsea v Manchester City,First Half,15.80,FERNANDO,Manchester City,8.98,-0.96
Chelsea v Manchester City,First Half,15.90,FERNANDO,Manchester City,9.37,-0.51
Chelsea v Manchester City,First Half,16.00,FERNANDO,Manchester City,9.78,-0.10
Chelsea v Manchester City,First Half,16.10,FERNANDO,Manchester City,10.20,0.27
Chelsea v Manchester City,First Half,16.20,FERNANDO,Manchester City,10.59,0.61
Chelsea v Manchester City,First Half,16.30,FERNANDO,Manchester City,10.95,0.91
Chelsea v Manchester City,First Half,16.40,FERNANDO,Manchester City,11.25,1.19
Chelsea v Manchester City,First Half,16.50,FERNANDO,Manchester City,11.51,1.43
