Matchname,Half,Time,Player1Name,Player1ClubName,XPos,Ypos
Chelsea v Manchester City,Second Half,1879.10,Frank LAMPARD,Manchester City,2.60,33.30
Chelsea v Manchester City,Second Half,1879.20,Frank LAMPARD,Manchester City,2.60,32.90
Chelsea v Manchester City,Second Half,1879.30,Frank LAMPARD,Manchester City,2.70,32.60
Chelsea v Manchester City,Second Half,1879.40,Frank LAMPARD,Manchester City,2.70,32.20
Chelsea v Manchester City,Second Half,1879.50,Frank LAMPARD,Manchester City,2.80,31.80
Chelsea v Manchester City,Second Half,1879.60,Frank LAMPARD,Manchester City,2.85,31.62
Chelsea v Manchester City,Second Half,1879.70,Frank LAMPARD,Manchester City,2.90,31.37
Chelsea v Manchester City,Second Half,1879.80,Frank LAMPARD,Manchester City,2.96,31.15
Chelsea v Manchester City,Second Half,1879.90,Frank LAMPARD,Manchester City,3.01,30.99
Chelsea v Manchester City,Second Half,1880.00,Frank LAMPARD,Manchester City,3.07,30.84
Chelsea v Manchester City,Second Half,1880.10,Frank LAMPARD,Manchester City,3.13,30.72
Chelsea v Manchester City,Second Half,1880.20,Frank LAMPARD,Manchester City,3.18,30.61
Chelsea v Manchester City,Second Half,1880.30,Frank LAMPARD,Manchester City,3.22,30.52
Chelsea v Manchester City,Second Half,1880.40,Frank LAMPARD,Manchester City,3.26,30.45
Chelsea v Manchester City,Second Half,1880.50,Frank LAMPARD,Manchester City,3.30,30.38
Chelsea v Manchester City,Second Half,1880.60,Frank LAMPARD,Manchester City,3.32,30.31
Chelsea v Manchester City,Second Half,1880.70,Frank LAMPARD,Manchester City,3.33,30.23
Chelsea v Manchester City,Second Half,1880.80,Frank LAMPARD,Manchester City,3.33,30.14
Chelsea v Manchester City,Second Half,1880.90,Frank LAMPARD,Manchester City,3.33,30.05
Chelsea v Manchester City,Second Half,1881.00,Frank LAMPARD,Manchester City,3.33,29.93
Chelsea v Manchester City,Second Half,1881.10,Frank LAMPARD,Manchester City,3.31,29.78
Chelsea v Manchester City,Second Half,1881.20,Frank LAMPARD,Manchester City,3.28,29.58
Chelsea v Manchester City,Second Half,1881.30,Frank LAMPARD,Manchester City,3.25,29.34
