Matchname,Half,Time,Player1Name,Player1ClubName,XPos,Ypos
Chelsea v Manchester City,Second Half,2491.20,Gary CAHILL,Chelsea,-0.40,35.20
Chelsea v Manchester City,Second Half,2491.30,Gary CAHILL,Chelsea,-0.50,34.90
Chelsea v Manchester City,Second Half,2491.40,Gary CAHILL,Chelsea,-0.60,34.50
Chelsea v Manchester City,Second Half,2491.50,Gary CAHILL,Chelsea,-0.70,34.20
Chelsea v Manchester City,Second Half,2491.60,Gary CAHILL,Chelsea,-0.70,33.80
Chelsea v Manchester City,Second Half,2491.70,Gary CAHILL,Chelsea,-0.80,33.52
Chelsea v Manchester City,Second Half,2491.80,Gary CAHILL,Chelsea,-0.85,33.26
Chelsea v Manchester City,Second Half,2491.90,Gary CAHILL,Chelsea,-0.90,33.04
Chelsea v Manchester City,Second Half,2492.00,Gary CAHILL,Chelsea,-0.92,32.88
Chelsea v Manchester City,Second Half,2492.10,Gary CAHILL,Chelsea,-0.93,32.76
Chelsea v Manchester City,Second Half,2492.20,Gary CAHILL,Chelsea,-0.94,32.69
Chelsea v Manchester City,Second Half,2492.30,Gary CAHILL,Chelsea,-0.93,32.61
Chelsea v Manchester City,Second Half,2492.40,Gary CAHILL,Chelsea,-0.93,32.54
Chelsea v Manchester City,Second Half,2492.50,Gary CAHILL,Chelsea,-0.92,32.47
Chelsea v Manchester City,Second Half,2492.60,Gary CAHILL,Chelsea,-0.91,32.39
Chelsea v Manchester City,Second Half,2492.70,Gary CAHILL,Chelsea,-0.90,32.32
Chelsea v Manchester City,Second Half,2492.80,Gary CAHILL,Chelsea,-0.90,32.24
Chelsea v Manchester City,Second Half,2492.90,Gary CAHILL,Chelsea,-0.90,32.16
Chelsea v Manchester City,Second Half,2493.00,Gary CAHILL,Chelsea,-0.90,32.07
Chelsea v Manchester City,Second Half,2493.10,Gary CAHILL,Chelsea,-0.91,31.97
Chelsea v Manchester City,Second Half,2493.20,Gary CAHILL,Chelsea,-0.92,31.87
Chelsea v Manchester City,Second Half,2493.30,Gary CAHILL,Chelsea,-0.95,31.76
Chelsea v Manchester City,Second Half,2493.40,Gary CAHILL,Chelsea,-1.00,31.58
Chelsea v Manchester City,Second Half,2493.50,Gary CAHILL,Chelsea,-1.09,31.31
