Matchname,Half,Time,Player1Name,Player1ClubName,XPos,Ypos
Chelsea v Manchester City,First Half,0.00,Loic REMY,Chelsea,1.50,10.00
Chelsea v Manchester City,First Half,0.10,Loic REMY,Chelsea,1.20,9.90
Chelsea v Manchester City,First Half,0.20,Loic REMY,Chelsea,1.20,9.90
Chelsea v Manchester City,First Half,0.30,Loic REMY,Chelsea,1.20,9.90
Chelsea v Manchester City,First Half,0.40,Loic REMY,Chelsea,1.20,9.90
Chelsea v Manchester City,First Half,0.50,Loic REMY,Chelsea,0.96,10.02
Chelsea v Manchester City,First Half,0.60,Loic REMY,Chelsea,0.73,10.06
Chelsea v Manchester City,First Half,0.70,Loic REMY,Chelsea,0.47,10.10
Chelsea v Manchester City,First Half,0.80,Loic REMY,Chelsea,0.18,10.14
Chelsea v Manchester City,First Half,0.90,Loic REMY,Chelsea,-0.15,10.20
Chelsea v Manchester City,First Half,1.00,Loic REMY,Chelsea,-0.46,10.26
Chelsea v Manchester City,First Half,1.10,Loic REMY,Chelsea,-0.73,10.31
Chelsea v Manchester City,First Half,1.20,Loic REMY,Chelsea,-1.00,10.39
Chelsea v Manchester City,First Half,1.30,Loic REMY,Chelsea,-1.25,10.50
Chelsea v Manchester City,First Half,1.40,Loic REMY,Chelsea,-1.59,10.57
Chelsea v Manchester City,First Half,1.50,Loic REMY,Chelsea,-1.95,10.58
Chelsea v Manchester City,First Half,1.60,Loic REMY,Chelsea,-2.33,10.54
Chelsea v Manchester City,First Half,1.70,Loic REMY,Chelsea,-2.73,10.43
Chelsea v Manchester City,First Half,1.80,Loic REMY,Chelsea,-3.15,10.26
Chelsea v Manchester City,First Half,1.90,Loic REMY,Chelsea,-3.60,10.00
Chelsea v Manchester City,First Half,2.00,Loic REMY,Chelsea,-3.97,9.70
Chelsea v Manchester City,First Half,2.10,Loic REMY,Chelsea,-4.31,9.38
Chelsea v Manchester City,First Half,2.20,Loic REMY,Chelsea,-4.62,9.02
Chelsea v Manchester City,First Half,2.30,Loic REMY,Chelsea,-4.91,8.66
Chelsea v Manchester City,First Half,2.40,Loic REMY,Chelsea,-5.16,8.29
Chelsea v Manchester City,First Half,2.50,Loic REMY,Chelsea,-5.36,7.90
Chelsea v Manchester City,First Half,2.60,Loic REMY,Chelsea,-5.54,7.52
Chelsea v Manchester City,First Half,2.70,Loic REMY,Chelsea,-5.71,7.14
Chelsea v Manchester City,First Half,2.80,Loic REMY,Chelsea,-5.85,6.76
Chelsea v Manchester City,First Half,2.90,Loic REMY,Chelsea,-5.98,6.38
Chelsea v Manchester City,First Half,3.00,Loic REMY,Chelsea,-6.10,6.00
Chelsea v Manchester City,First Half,3.10,Loic REMY,Chelsea,-6.23,5.62
Chelsea v Manchester City,First Half,3.20,Loic REMY,Chelsea,-6.37,5.23
Chelsea v Manchester City,First Half,3.30,Loic REMY,Chelsea,-6.53,4.82
Chelsea v Manchester City,First Half,3.40,Loic REMY,Chelsea,-6.72,4.39
Chelsea v Manchester City,First Half,3.50,Loic REMY,Chelsea,-6.93,3.93
Chelsea v Manchester City,First Half,3.60,Loic REMY,Chelsea,-7.18,3.46
Chelsea v Manchester City,First Half,3.70,Loic REMY,Chelsea,-7.47,2.97
Chelsea v Manchester City,First Half,3.80,Loic REMY,Chelsea,-7.76,2.47
Chelsea v Manchester City,First Half,3.90,Loic REMY,Chelsea,-8.07,1.97
Chelsea v Manchester City,First Half,4.00,Loic REMY,Chelsea,-8.39,1.45
Chelsea v Manchester City,First Half,4.10,Loic REMY,Chelsea,-8.72,0.94
Chelsea v Manchester City,First Half,4.20,Loic REMY,Chelsea,-9.03,0.42
Chelsea v Manchester City,First Half,4.30,Loic REMY,Chelsea,-9.32,-0.10
Chelsea v Manchester City,First Half,4.40,Loic REMY,Chelsea,-9.61,-0.65
Chelsea v Manchester City,First Half,4.50,Loic REMY,Chelsea,-9.88,-1.19
Chelsea v Manchester City,First Half,4.60,Loic REMY,Chelsea,-10.13,-1.73
Chelsea v Manchester City,First Half,4.70,Loic REMY,Chelsea,-10.38,-2.28
Chelsea v Manchester City,First Half,4.80,Loic REMY,Chelsea,-10.62,-2.83
Chelsea v Manchester City,First Half,4.90,Loic REMY,Chelsea,-10.86,-3.38
Chelsea v Manchester City,First Half,5.00,Loic REMY,Chelsea,-11.09,-3.93
Chelsea v Manchester City,First Half,5.10,Loic REMY,Chelsea,-11.33,-4.48
Chelsea v Manchester City,First Half,5.20,Loic REMY,Chelsea,-11.53,-5.01
Chelsea v Manchester City,First Half,5.30,Loic REMY,Chelsea,-11.71,-5.53
Chelsea v Manchester City,First Half,5.40,Loic REMY,Chelsea,-11.87,-6.03
Chelsea v Manchester City,First Half,5.50,Loic REMY,Chelsea,-11.99,-6.52
Chelsea v Manchester City,First Half,5.60,Loic REMY,Chelsea,-12.09,-6.98
Chelsea v Manchester City,First Half,5.70,Loic REMY,Chelsea,-12.15,-7.42
Chelsea v Manchester City,First Half,5.80,Loic REMY,Chelsea,-12.20,-7.85
Chelsea v Manchester City,First Half,5.90,Loic REMY,Chelsea,-12.25,-8.27
Chelsea v Manchester City,First Half,6.00,Loic REMY,Chelsea,-12.28,-8.69
Chelsea v Manchester City,First Half,6.10,Loic REMY,Chelsea,-12.30,-9.10
Chelsea v Manchester City,First Half,6.20,Loic REMY,Chelsea,-12.30,-9.51
Chelsea v Manchester City,First Half,6.30,Loic REMY,Chelsea,-12.28,-9.92
Chelsea v Manchester City,First Half,6.40,Loic REMY,Chelsea,-12.26,-10.34
Chelsea v Manchester City,First Half,6.50,Loic REMY,Chelsea,-12.21,-10.77
Chelsea v Manchester City,First Half,6.60,Loic REMY,Chelsea,-12.15,-11.20
Chelsea v Manchester City,First Half,6.70,Loic REMY,Chelsea,-12.08,-11.63
Chelsea v Manchester City,First Half,6.80,Loic REMY,Chelsea,-12.01,-12.06
Chelsea v Manchester City,First Half,6.90,Loic REMY,Chelsea,-11.93,-12.50
Chelsea v Manchester City,First Half,7.00,Loic REMY,Chelsea,-11.84,-12.93
Chelsea v Manchester City,First Half,7.10,Loic REMY,Chelsea,-11.76,-13.37
Chelsea v Manchester City,First Half,7.20,Loic REMY,Chelsea,-11.68,-13.77
Chelsea v Manchester City,First Half,7.30,Loic REMY,Chelsea,-11.63,-14.16
Chelsea v Manchester City,First Half,7.40,Loic REMY,Chelsea,-11.59,-14.51
Chelsea v Manchester City,First Half,7.50,Loic REMY,Chelsea,-11.57,-14.83
Chelsea v Manchester City,First Half,7.60,Loic REMY,Chelsea,-11.58,-15.11
Chelsea v Manchester City,First Half,7.70,Loic REMY,Chelsea,-11.60,-15.36
Chelsea v Manchester City,First Half,7.80,Loic REMY,Chelsea,-11.64,-15.59
Chelsea v Manchester City,First Half,7.90,Loic REMY,Chelsea,-11.68,-15.80
Chelsea v Manchester City,First Half,8.00,Loic REMY,Chelsea,-11.72,-16.00
Chelsea v Manchester City,First Half,8.10,Loic REMY,Chelsea,-11.80,-16.21
Chelsea v Manchester City,First Half,8.20,Loic REMY,Chelsea,-11.89,-16.43
Chelsea v Manchester City,First Half,8.30,Loic REMY,Chelsea,-12.01,-16.68
Chelsea v Manchester City,First Half,8.40,Loic REMY,Chelsea,-12.15,-16.95
Chelsea v Manchester City,First Half,8.50,Loic REMY,Chelsea,-12.32,-17.24
Chelsea v Manchester City,First Half,8.60,Loic REMY,Chelsea,-12.52,-17.58
Chelsea v Manchester City,First Half,8.70,Loic REMY,Chelsea,-12.72,-17.93
Chelsea v Manchester City,First Half,8.80,Loic REMY,Chelsea,-12.89,-18.26
Chelsea v Manchester City,First Half,8.90,Loic REMY,Chelsea,-13.03,-18.56
Chelsea v Manchester City,First Half,9.00,Loic REMY,Chelsea,-13.13,-18.82
Chelsea v Manchester City,First Half,9.10,Loic REMY,Chelsea,-13.19,-19.06
Chelsea v Manchester City,First Half,9.20,Loic REMY,Chelsea,-13.19,-19.24
Chelsea v Manchester City,First Half,9.30,Loic REMY,Chelsea,-13.13,-19.37
Chelsea v Manchester City,First Half,9.40,Loic REMY,Chelsea,-13.05,-19.48
Chelsea v Manchester City,First Half,9.50,Loic REMY,Chelsea,-12.95,-19.57
Chelsea v Manchester City,First Half,9.60,Loic REMY,Chelsea,-12.83,-19.65
Chelsea v Manchester City,First Half,9.70,Loic REMY,Chelsea,-12.68,-19.69
Chelsea v Manchester City,First Half,9.80,Loic REMY,Chelsea,-12.51,-19.72
Chelsea v Manchester City,First Half,9.90,Loic REMY,Chelsea,-12.34,-19.75
Chelsea v Manchester City,First Half,10.00,Loic REMY,Chelsea,-12.16,-19.75
Chelsea v Manchester City,First Half,10.10,Loic REMY,Chelsea,-11.96,-19.75
Chelsea v Manchester City,First Half,10.20,Loic REMY,Chelsea,-11.75,-19.74
Chelsea v Manchester City,First Half,10.30,Loic REMY,Chelsea,-11.55,-19.73
Chelsea v Manchester City,First Half,10.40,Loic REMY,Chelsea,-11.34,-19.71
Chelsea v Manchester City,First Half,10.50,Loic REMY,Chelsea,-11.12,-19.69
Chelsea v Manchester City,First Half,10.60,Loic REMY,Chelsea,-10.90,-19.67
Chelsea v Manchester City,First Half,10.70,Loic REMY,Chelsea,-10.68,-19.63
Chelsea v Manchester City,First Half,10.80,Loic REMY,Chelsea,-10.45,-19.58
Chelsea v Manchester City,First Half,10.90,Loic REMY,Chelsea,-10.22,-19.53
Chelsea v Manchester City,First Half,11.00,Loic REMY,Chelsea,-9.98,-19.47
Chelsea v Manchester City,First Half,11.10,Loic REMY,Chelsea,-9.74,-19.40
Chelsea v Manchester City,First Half,11.20,Loic REMY,Chelsea,-9.49,-19.33
Chelsea v Manchester City,First Half,11.30,Loic REMY,Chelsea,-9.24,-19.26
Chelsea v Manchester City,First Half,11.40,Loic REMY,Chelsea,-8.99,-19.18
Chelsea v Manchester City,First Half,11.50,Loic REMY,Chelsea,-8.74,-19.10
Chelsea v Manchester City,First Half,11.60,Loic REMY,Chelsea,-8.48,-19.01
Chelsea v Manchester City,First Half,11.70,Loic REMY,Chelsea,-8.22,-18.89
Chelsea v Manchester City,First Half,11.80,Loic REMY,Chelsea,-7.96,-18.74
Chelsea v Manchester City,First Half,11.90,Loic REMY,Chelsea,-7.68,-18.57
Chelsea v Manchester City,First Half,12.00,Loic REMY,Chelsea,-7.40,-18.36
Chelsea v Manchester City,First Half,12.10,Loic REMY,Chelsea,-7.10,-18.14
Chelsea v Manchester City,First Half,12.20,Loic REMY,Chelsea,-6.81,-17.91
Chelsea v Manchester City,First Half,12.30,Loic REMY,Chelsea,-6.50,-17.67
Chelsea v Manchester City,First Half,12.40,Loic REMY,Chelsea,-6.20,-17.41
Chelsea v Manchester City,First Half,12.50,Loic REMY,Chelsea,-5.90,-17.15
Chelsea v Manchester City,First Half,12.60,Loic REMY,Chelsea,-5.60,-16.89
Chelsea v Manchester City,First Half,12.70,Loic REMY,Chelsea,-5.30,-16.61
Chelsea v Manchester City,First Half,12.80,Loic REMY,Chelsea,-5.01,-16.32
Chelsea v Manchester City,First Half,12.90,Loic REMY,Chelsea,-4.72,-16.03
Chelsea v Manchester City,First Half,13.00,Loic REMY,Chelsea,-4.43,-15.72
Chelsea v Manchester City,First Half,13.10,Loic REMY,Chelsea,-4.15,-15.41
Chelsea v Manchester City,First Half,13.20,Loic REMY,Chelsea,-3.87,-15.08
Chelsea v Manchester City,First Half,13.30,Loic REMY,Chelsea,-3.61,-14.75
Chelsea v Manchester City,First Half,13.40,Loic REMY,Chelsea,-3.33,-14.42
