Matchname,Half,Time,Player1Name,Player1ClubName,XPos,Ypos
Chelsea v Manchester City,First Half,0.00,OSCAR,Chelsea,9.40,0.20
Chelsea v Manchester City,First Half,0.10,OSCAR,Chelsea,9.20,0.20
Chelsea v Manchester City,First Half,0.20,OSCAR,Chelsea,9.00,0.30
Chelsea v Manchester City,First Half,0.30,OSCAR,Chelsea,8.80,0.40
Chelsea v Manchester City,First Half,0.40,OSCAR,Chelsea,8.60,0.50
Chelsea v Manchester City,First Half,0.50,OSCAR,Chelsea,8.33,0.54
Chelsea v Manchester City,First Half,0.60,OSCAR,Chelsea,8.11,0.61
Chelsea v Manchester City,First Half,0.70,OSCAR,Chelsea,7.89,0.69
Chelsea v Manchester City,First Half,0.80,OSCAR,Chelsea,7.67,0.76
Chelsea v Manchester City,First Half,0.90,OSCAR,Chelsea,7.44,0.82
Chelsea v Manchester City,First Half,1.00,OSCAR,Chelsea,7.21,0.88
Chelsea v Manchester City,First Half,1.10,OSCAR,Chelsea,6.99,0.94
Chelsea v Manchester City,First Half,1.20,OSCAR,Chelsea,6.76,1.00
Chelsea v Manchester City,First Half,1.30,OSCAR,Chelsea,6.53,1.05
Chelsea v Manchester City,First Half,1.40,OSCAR,Chelsea,6.31,1.11
Chelsea v Manchester City,First Half,1.50,OSCAR,Chelsea,6.09,1.16
Chelsea v Manchester City,First Half,1.60,OSCAR,Chelsea,5.87,1.21
Chelsea v Manchester City,First Half,1.70,OSCAR,Chelsea,5.66,1.25
Chelsea v Manchester City,First Half,1.80,OSCAR,Chelsea,5.46,1.27
Chelsea v Manchester City,First Half,1.90,OSCAR,Chelsea,5.27,1.29
Chelsea v Manchester City,First Half,2.00,OSCAR,Chelsea,5.09,1.30
Chelsea v Manchester City,First Half,2.10,OSCAR,Chelsea,4.91,1.29
Chelsea v Manchester City,First Half,2.20,OSCAR,Chelsea,4.74,1.28
Chelsea v Manchester City,First Half,2.30,OSCAR,Chelsea,4.58,1.27
Chelsea v Manchester City,First Half,2.40,OSCAR,Chelsea,4.42,1.25
Chelsea v Manchester City,First Half,2.50,OSCAR,Chelsea,4.24,1.17
Chelsea v Manchester City,First Half,2.60,OSCAR,Chelsea,4.05,1.03
Chelsea v Manchester City,First Half,2.70,OSCAR,Chelsea,3.85,0.84
Chelsea v Manchester City,First Half,2.80,OSCAR,Chelsea,3.63,0.57
Chelsea v Manchester City,First Half,2.90,OSCAR,Chelsea,3.39,0.21
Chelsea v Manchester City,First Half,3.00,OSCAR,Chelsea,3.13,-0.22
Chelsea v Manchester City,First Half,3.10,OSCAR,Chelsea,2.87,-0.68
Chelsea v Manchester City,First Half,3.20,OSCAR,Chelsea,2.60,-1.16
Chelsea v Manchester City,First Half,3.30,OSCAR,Chelsea,2.33,-1.65
Chelsea v Manchester City,First Half,3.40,OSCAR,Chelsea,2.06,-2.15
Chelsea v Manchester City,First Half,3.50,OSCAR,Chelsea,1.79,-2.64
Chelsea v Manchester City,First Half,3.60,OSCAR,Chelsea,1.52,-3.13
Chelsea v Manchester City,First Half,3.70,OSCAR,Chelsea,1.26,-3.60
Chelsea v Manchester City,First Half,3.80,OSCAR,Chelsea,1.02,-4.08
Chelsea v Manchester City,First Half,3.90,OSCAR,Chelsea,0.80,-4.57
Chelsea v Manchester City,First Half,4.00,OSCAR,Chelsea,0.61,-5.07
Chelsea v Manchester City,First Half,4.10,OSCAR,Chelsea,0.43,-5.58
Chelsea v Manchester City,First Half,4.20,OSCAR,Chelsea,0.27,-6.09
Chelsea v Manchester City,First Half,4.30,OSCAR,Chelsea,0.14,-6.62
Chelsea v Manchester City,First Half,4.40,OSCAR,Chelsea,0.01,-7.15
Chelsea v Manchester City,First Half,4.50,OSCAR,Chelsea,-0.11,-7.68
Chelsea v Manchester City,First Half,4.60,OSCAR,Chelsea,-0.23,-8.22
Chelsea v Manchester City,First Half,4.70,OSCAR,Chelsea,-0.35,-8.76
Chelsea v Manchester City,First Half,4.80,OSCAR,Chelsea,-0.46,-9.30
Chelsea v Manchester City,First Half,4.90,OSCAR,Chelsea,-0.55,-9.85
Chelsea v Manchester City,First Half,5.00,OSCAR,Chelsea,-0.63,-10.39
Chelsea v Manchester City,First Half,5.10,OSCAR,Chelsea,-0.68,-10.94
Chelsea v Manchester City,First Half,5.20,OSCAR,Chelsea,-0.72,-11.49
Chelsea v Manchester City,First Half,5.30,OSCAR,Chelsea,-0.73,-12.02
Chelsea v Manchester City,First Half,5.40,OSCAR,Chelsea,-0.72,-12.57
Chelsea v Manchester City,First Half,5.50,OSCAR,Chelsea,-0.70,-13.11
Chelsea v Manchester City,First Half,5.60,OSCAR,Chelsea,-0.67,-13.66
Chelsea v Manchester City,First Half,5.70,OSCAR,Chelsea,-0.63,-14.20
Chelsea v Manchester City,First Half,5.80,OSCAR,Chelsea,-0.61,-14.73
