Matchname,Half,Time,Player1Name,Player1ClubName,XPos,Ypos
Chelsea v Manchester City,Second Half,2821.80,Ruben LOFTUS-CHEEK,Chelsea,-0.20,35.10
Chelsea v Manchester City,Second Half,2821.90,Ruben LOFTUS-CHEEK,Chelsea,-0.50,34.80
Chelsea v Manchester City,Second Half,2822.00,Ruben LOFTUS-CHEEK,Chelsea,-0.70,34.50
Chelsea v Manchester City,Second Half,2822.10,Ruben LOFTUS-CHEEK,Chelsea,-1.00,34.30
Chelsea v Manchester City,Second Half,2822.20,Ruben LOFTUS-CHEEK,Chelsea,-1.30,34.00
Chelsea v Manchester City,Second Half,2822.30,Ruben LOFTUS-CHEEK,Chelsea,-1.65,33.23
Chelsea v Manchester City,Second Half,2822.40,Ruben LOFTUS-CHEEK,Chelsea,-1.95,32.76
Chelsea v Manchester City,Second Half,2822.50,Ruben LOFTUS-CHEEK,Chelsea,-2.23,32.28
Chelsea v Manchester City,Second Half,2822.60,Ruben LOFTUS-CHEEK,Chelsea,-2.51,31.78
Chelsea v Manchester City,Second Half,2822.70,Ruben LOFTUS-CHEEK,Chelsea,-2.79,31.25
Chelsea v Manchester City,Second Half,2822.80,Ruben LOFTUS-CHEEK,Chelsea,-3.05,30.71
Chelsea v Manchester City,Second Half,2822.90,Ruben LOFTUS-CHEEK,Chelsea,-3.31,30.18
Chelsea v Manchester City,Second Half,2823.00,Ruben LOFTUS-CHEEK,Chelsea,-3.56,29.65
Chelsea v Manchester City,Second Half,2823.10,Ruben LOFTUS-CHEEK,Chelsea,-3.81,29.12
Chelsea v Manchester City,Second Half,2823.20,Ruben LOFTUS-CHEEK,Chelsea,-4.06,28.60
Chelsea v Manchester City,Second Half,2823.30,Ruben LOFTUS-CHEEK,Chelsea,-4.30,28.08
Chelsea v Manchester City,Second Half,2823.40,Ruben LOFTUS-CHEEK,Chelsea,-4.55,27.56
Chelsea v Manchester City,Second Half,2823.50,Ruben LOFTUS-CHEEK,Chelsea,-4.79,27.05
Chelsea v Manchester City,Second Half,2823.60,Ruben LOFTUS-CHEEK,Chelsea,-5.03,26.54
Chelsea v Manchester City,Second Half,2823.70,Ruben LOFTUS-CHEEK,Chelsea,-5.28,26.05
Chelsea v Manchester City,Second Half,2823.80,Ruben LOFTUS-CHEEK,Chelsea,-5.51,25.58
Chelsea v Manchester City,Second Half,2823.90,Ruben LOFTUS-CHEEK,Chelsea,-5.76,25.13
Chelsea v Manchester City,Second Half,2824.00,Ruben LOFTUS-CHEEK,Chelsea,-6.00,24.71
Chelsea v Manchester City,Second Half,2824.10,Ruben LOFTUS-CHEEK,Chelsea,-6.24,24.33
Chelsea v Manchester City,Second Half,2824.20,Ruben LOFTUS-CHEEK,Chelsea,-6.49,23.97
Chelsea v Manchester City,Second Half,2824.30,Ruben LOFTUS-CHEEK,Chelsea,-6.73,23.63
Chelsea v Manchester City,Second Half,2824.40,Ruben LOFTUS-CHEEK,Chelsea,-6.98,23.27
Chelsea v Manchester City,Second Half,2824.50,Ruben LOFTUS-CHEEK,Chelsea,-7.24,22.90
Chelsea v Manchester City,Second Half,2824.60,Ruben LOFTUS-CHEEK,Chelsea,-7.51,22.51
Chelsea v Manchester City,Second Half,2824.70,Ruben LOFTUS-CHEEK,Chelsea,-7.78,22.09
Chelsea v Manchester City,Second Half,2824.80,Ruben LOFTUS-CHEEK,Chelsea,-8.06,21.64
Chelsea v Manchester City,Second Half,2824.90,Ruben LOFTUS-CHEEK,Chelsea,-8.35,21.15
Chelsea v Manchester City,Second Half,2825.00,Ruben LOFTUS-CHEEK,Chelsea,-8.64,20.65
Chelsea v Manchester City,Second Half,2825.10,Ruben LOFTUS-CHEEK,Chelsea,-8.93,20.14
Chelsea v Manchester City,Second Half,2825.20,Ruben LOFTUS-CHEEK,Chelsea,-9.22,19.62
Chelsea v Manchester City,Second Half,2825.30,Ruben LOFTUS-CHEEK,Chelsea,-9.51,19.11
Chelsea v Manchester City,Second Half,2825.40,Ruben LOFTUS-CHEEK,Chelsea,-9.79,18.62
Chelsea v Manchester City,Second Half,2825.50,Ruben LOFTUS-CHEEK,Chelsea,-10.05,18.14
