Matchname,Half,Time,Player1Name,Player1ClubName,XPos,Ypos
Chelsea v Manchester City,Second Half,2645.00,Stevan JOVETIC,Manchester City,-0.70,33.90
Chelsea v Manchester City,Second Half,2645.10,Stevan JOVETIC,Manchester City,-0.90,33.80
Chelsea v Manchester City,Second Half,2645.20,Stevan JOVETIC,Manchester City,-1.20,33.70
Chelsea v Manchester City,Second Half,2645.30,Stevan JOVETIC,Manchester City,-1.50,33.60
Chelsea v Manchester City,Second Half,2645.40,Stevan JOVETIC,Manchester City,-1.70,33.50
Chelsea v Manchester City,Second Half,2645.50,Stevan JOVETIC,Manchester City,-2.02,33.40
Chelsea v Manchester City,Second Half,2645.60,Stevan JOVETIC,Manchester City,-2.28,33.30
Chelsea v Manchester City,Second Half,2645.70,Stevan JOVETIC,Manchester City,-2.55,33.20
Chelsea v Manchester City,Second Half,2645.80,Stevan JOVETIC,Manchester City,-2.82,33.10
Chelsea v Manchester City,Second Half,2645.90,Stevan JOVETIC,Manchester City,-3.11,32.99
Chelsea v Manchester City,Second Half,2646.00,Stevan JOVETIC,Manchester City,-3.41,32.88
Chelsea v Manchester City,Second Half,2646.10,Stevan JOVETIC,Manchester City,-3.72,32.76
Chelsea v Manchester City,Second Half,2646.20,Stevan JOVETIC,Manchester City,-4.05,32.63
Chelsea v Manchester City,Second Half,2646.30,Stevan JOVETIC,Manchester City,-4.40,32.49
Chelsea v Manchester City,Second Half,2646.40,Stevan JOVETIC,Manchester City,-4.77,32.34
Chelsea v Manchester City,Second Half,2646.50,Stevan JOVETIC,Manchester City,-5.15,32.19
Chelsea v Manchester City,Second Half,2646.60,Stevan JOVETIC,Manchester City,-5.54,32.03
Chelsea v Manchester City,Second Half,2646.70,Stevan JOVETIC,Manchester City,-5.93,31.87
Chelsea v Manchester City,Second Half,2646.80,Stevan JOVETIC,Manchester City,-6.33,31.71
Chelsea v Manchester City,Second Half,2646.90,Stevan JOVETIC,Manchester City,-6.72,31.55
Chelsea v Manchester City,Second Half,2647.00,Stevan JOVETIC,Manchester City,-7.12,31.37
Chelsea v Manchester City,Second Half,2647.10,Stevan JOVETIC,Manchester City,-7.53,31.18
Chelsea v Manchester City,Second Half,2647.20,Stevan JOVETIC,Manchester City,-7.95,30.99
Chelsea v Manchester City,Second Half,2647.30,Stevan JOVETIC,Manchester City,-8.37,30.77
Chelsea v Manchester City,Second Half,2647.40,Stevan JOVETIC,Manchester City,-8.80,30.55
Chelsea v Manchester City,Second Half,2647.50,Stevan JOVETIC,Manchester City,-9.23,30.31
Chelsea v Manchester City,Second Half,2647.60,Stevan JOVETIC,Manchester City,-9.66,30.08
Chelsea v Manchester City,Second Half,2647.70,Stevan JOVETIC,Manchester City,-10.10,29.84
Chelsea v Manchester City,Second Half,2647.80,Stevan JOVETIC,Manchester City,-10.53,29.59
Chelsea v Manchester City,Second Half,2647.90,Stevan JOVETIC,Manchester City,-10.97,29.33
Chelsea v Manchester City,Second Half,2648.00,Stevan JOVETIC,Manchester City,-11.39,29.06
Chelsea v Manchester City,Second Half,2648.10,Stevan JOVETIC,Manchester City,-11.81,28.77
Chelsea v Manchester City,Second Half,2648.20,Stevan JOVETIC,Manchester City,-12.24,28.47
Chelsea v Manchester City,Second Half,2648.30,Stevan JOVETIC,Manchester City,-12.65,28.16
Chelsea v Manchester City,Second Half,2648.40,Stevan JOVETIC,Manchester City,-13.05,27.84
Chelsea v Manchester City,Second Half,2648.50,Stevan JOVETIC,Manchester City,-13.45,27.50
Chelsea v Manchester City,Second Half,2648.60,Stevan JOVETIC,Manchester City,-13.85,27.17
Chelsea v Manchester City,Second Half,2648.70,Stevan JOVETIC,Manchester City,-14.24,26.83
Chelsea v Manchester City,Second Half,2648.80,Stevan JOVETIC,Manchester City,-14.63,26.48
Chelsea v Manchester City,Second Half,2648.90,Stevan JOVETIC,Manchester City,-15.02,26.14
Chelsea v Manchester City,Second Half,2649.00,Stevan JOVETIC,Manchester City,-15.40,25.81
Chelsea v Manchester City,Second Half,2649.10,Stevan JOVETIC,Manchester City,-15.75,25.51
Chelsea v Manchester City,Second Half,2649.20,Stevan JOVETIC,Manchester City,-16.08,25.23
Chelsea v Manchester City,Second Half,2649.30,Stevan JOVETIC,Manchester City,-16.38,24.98
Chelsea v Manchester City,Second Half,2649.40,Stevan JOVETIC,Manchester City,-16.66,24.76
Chelsea v Manchester City,Second Half,2649.50,Stevan JOVETIC,Manchester City,-16.91,24.57
Chelsea v Manchester City,Second Half,2649.60,Stevan JOVETIC,Manchester City,-17.14,24.40
Chelsea v Manchester City,Second Half,2649.70,Stevan JOVETIC,Manchester City,-17.37,24.23
Chelsea v Manchester City,Second Half,2649.80,Stevan JOVETIC,Manchester City,-17.59,24.08
Chelsea v Manchester City,Second Half,2649.90,Stevan JOVETIC,Manchester City,-17.80,23.94
Chelsea v Manchester City,Second Half,2650.00,Stevan JOVETIC,Manchester City,-18.00,23.81
Chelsea v Manchester City,Second Half,2650.10,Stevan JOVETIC,Manchester City,-18.20,23.69
Chelsea v Manchester City,Second Half,2650.20,Stevan JOVETIC,Manchester City,-18.39,23.56
Chelsea v Manchester City,Second Half,2650.30,Stevan JOVETIC,Manchester City,-18.61,23.46
Chelsea v Manchester City,Second Half,2650.40,Stevan JOVETIC,Manchester City,-18.85,23.40
Chelsea v Manchester City,Second Half,2650.50,Stevan JOVETIC,Manchester City,-19.11,23.37
Chelsea v Manchester City,Second Half,2650.60,Stevan JOVETIC,Manchester City,-19.41,23.36
Chelsea v Manchester City,Second Half,2650.70,Stevan JOVETIC,Manchester City,-19.73,23.40
Chelsea v Manchester City,Second Half,2650.80,Stevan JOVETIC,Manchester City,-20.10,23.48
Chelsea v Manchester City,Second Half,2650.90,Stevan JOVETIC,Manchester City,-20.47,23.57
Chelsea v Manchester City,Second Half,2651.00,Stevan JOVETIC,Manchester City,-20.87,23.68
Chelsea v Manchester City,Second Half,2651.10,Stevan JOVETIC,Manchester City,-21.26,23.80
Chelsea v Manchester City,Second Half,2651.20,Stevan JOVETIC,Manchester City,-21.68,23.93
