Matchname,Half,Time,Player1Name,Player1ClubName,XPos,Ypos
Chelsea v Manchester City,First Half,0.00,WILLIAN,Chelsea,3.90,-9.90
Chelsea v Manchester City,First Half,0.10,WILLIAN,Chelsea,3.80,-9.90
Chelsea v Manchester City,First Half,0.20,WILLIAN,Chelsea,3.60,-9.90
Chelsea v Manchester City,First Half,0.30,WILLIAN,Chelsea,3.40,-9.90
Chelsea v Manchester City,First Half,0.40,WILLIAN,Chelsea,3.20,-9.80
Chelsea v Manchester City,First Half,0.50,WILLIAN,Chelsea,3.02,-9.82
Chelsea v Manchester City,First Half,0.60,WILLIAN,Chelsea,2.84,-9.80
Chelsea v Manchester City,First Half,0.70,WILLIAN,Chelsea,2.65,-9.78
Chelsea v Manchester City,First Half,0.80,WILLIAN,Chelsea,2.46,-9.76
Chelsea v Manchester City,First Half,0.90,WILLIAN,Chelsea,2.28,-9.73
Chelsea v Manchester City,First Half,1.00,WILLIAN,Chelsea,2.10,-9.72
Chelsea v Manchester City,First Half,1.10,WILLIAN,Chelsea,1.89,-9.73
Chelsea v Manchester City,First Half,1.20,WILLIAN,Chelsea,1.67,-9.76
Chelsea v Manchester City,First Half,1.30,WILLIAN,Chelsea,1.43,-9.82
Chelsea v Manchester City,First Half,1.40,WILLIAN,Chelsea,1.18,-9.91
Chelsea v Manchester City,First Half,1.50,WILLIAN,Chelsea,0.90,-10.04
Chelsea v Manchester City,First Half,1.60,WILLIAN,Chelsea,0.59,-10.21
Chelsea v Manchester City,First Half,1.70,WILLIAN,Chelsea,0.27,-10.39
Chelsea v Manchester City,First Half,1.80,WILLIAN,Chelsea,-0.05,-10.60
Chelsea v Manchester City,First Half,1.90,WILLIAN,Chelsea,-0.37,-10.80
Chelsea v Manchester City,First Half,2.00,WILLIAN,Chelsea,-0.72,-11.03
Chelsea v Manchester City,First Half,2.10,WILLIAN,Chelsea,-1.08,-11.26
Chelsea v Manchester City,First Half,2.20,WILLIAN,Chelsea,-1.43,-11.49
Chelsea v Manchester City,First Half,2.30,WILLIAN,Chelsea,-1.79,-11.73
Chelsea v Manchester City,First Half,2.40,WILLIAN,Chelsea,-2.15,-11.96
Chelsea v Manchester City,First Half,2.50,WILLIAN,Chelsea,-2.52,-12.21
Chelsea v Manchester City,First Half,2.60,WILLIAN,Chelsea,-2.89,-12.49
Chelsea v Manchester City,First Half,2.70,WILLIAN,Chelsea,-3.25,-12.82
Chelsea v Manchester City,First Half,2.80,WILLIAN,Chelsea,-3.63,-13.18
Chelsea v Manchester City,First Half,2.90,WILLIAN,Chelsea,-3.99,-13.60
Chelsea v Manchester City,First Half,3.00,WILLIAN,Chelsea,-4.33,-14.05
